timestamp,wind_10m_ms,wind_50m_ms,temp_air_c,surface_pressure_kpa,relative_humidity_pct,wind_hub_ms,air_density_kgm3,wind_power_density_wm2,turbine_ac_kw_per_unit,capacity_factor
2023-01-01 00:00:00,5.060000,7.050000,16.180000,99.330000,94.840000,9.256675,1.195995,474.312411,2358.190632,0.683534
2023-01-01 01:00:00,4.760000,6.770000,16.220000,99.280000,95.490000,8.707860,1.195228,394.598193,2015.769292,0.584281
2023-01-01 02:00:00,4.810000,7.010000,16.330000,99.240000,95.550000,8.799330,1.194292,406.845382,2065.021634,0.598557
2023-01-01 03:00:00,4.680000,6.870000,16.420000,99.220000,95.740000,8.561510,1.193681,374.549469,1931.873501,0.559963
2023-01-01 04:00:00,4.550000,6.800000,16.440000,99.210000,96.280000,8.323690,1.193478,344.137539,1799.475759,0.521587
2023-01-01 05:00:00,4.540000,6.650000,16.740000,99.210000,95.370000,8.305396,1.192243,341.519687,1787.464936,0.518106
2023-01-01 06:00:00,4.580000,6.580000,17.400000,99.230000,92.900000,8.378572,1.189774,349.900462,1824.274200,0.528775
2023-01-01 07:00:00,4.710000,6.960000,18.180000,99.250000,89.290000,8.616391,1.186828,379.606813,1951.089882,0.565533
2023-01-01 08:00:00,4.700000,7.050000,18.880000,99.250000,86.040000,8.598097,1.183983,376.289925,1936.334404,0.561256
2023-01-01 09:00:00,4.660000,7.040000,19.530000,99.240000,83.170000,8.524922,1.181235,365.912655,1891.620607,0.548296
2023-01-01 10:00:00,4.610000,6.920000,19.970000,99.220000,81.450000,8.433453,1.179224,353.657210,1838.211153,0.532815
2023-01-01 11:00:00,4.520000,6.770000,20.260000,99.180000,80.370000,8.268809,1.177583,332.882119,1745.438641,0.505924
2023-01-01 12:00:00,4.450000,6.670000,20.420000,99.130000,79.600000,8.140752,1.176348,317.321455,1673.514572,0.485077
2023-01-01 13:00:00,4.380000,6.580000,20.540000,99.090000,78.720000,8.012695,1.175393,302.335379,1602.119333,0.464382
2023-01-01 14:00:00,4.290000,6.500000,20.320000,99.040000,78.380000,7.848051,1.175681,284.148106,1526.297123,0.442405
2023-01-01 15:00:00,4.140000,6.340000,19.820000,99.000000,79.660000,7.573643,1.177211,255.704892,1403.024503,0.406674
2023-01-01 16:00:00,4.030000,6.190000,19.220000,98.980000,82.110000,7.372411,1.179389,236.295663,1313.594057,0.380752
2023-01-01 17:00:00,3.950000,6.050000,18.660000,98.990000,84.670000,7.226061,1.181772,222.950479,1249.185074,0.362083
2023-01-01 18:00:00,3.850000,5.850000,18.070000,99.000000,87.800000,7.043122,1.184286,206.881738,1167.834527,0.338503
2023-01-01 19:00:00,3.580000,5.380000,17.370000,99.000000,91.680000,6.549189,1.187139,166.737855,984.784442,0.285445
2023-01-01 20:00:00,3.590000,5.320000,16.840000,98.990000,94.630000,6.567483,1.189189,168.429290,993.233505,0.287894
2023-01-01 21:00:00,3.700000,5.350000,16.660000,98.960000,95.200000,6.768715,1.189567,184.449491,1067.805544,0.309509
2023-01-01 22:00:00,3.500000,5.040000,16.550000,98.930000,95.590000,6.402839,1.189658,156.138361,932.865533,0.270396
2023-01-01 23:00:00,3.510000,5.020000,16.500000,98.880000,95.840000,6.421132,1.189262,157.428097,939.303554,0.272262
2023-01-02 00:00:00,3.540000,5.010000,16.490000,98.820000,95.760000,6.476014,1.188581,161.406889,959.000826,0.277971
2023-01-02 01:00:00,3.410000,4.920000,16.430000,98.780000,96.090000,6.238194,1.188346,144.241279,871.143683,0.252505
2023-01-02 02:00:00,3.560000,5.210000,16.330000,98.720000,96.730000,6.512601,1.188034,164.082607,972.042999,0.281752
2023-01-02 03:00:00,3.750000,5.440000,16.570000,98.660000,95.620000,6.860184,1.186329,191.506010,1098.559945,0.318423
2023-01-02 04:00:00,3.860000,5.640000,16.670000,98.590000,95.200000,7.061416,1.185078,208.637514,1177.021985,0.341166
2023-01-02 05:00:00,3.810000,5.510000,16.810000,98.520000,94.530000,6.969947,1.183665,200.395151,1136.395565,0.329390
2023-01-02 06:00:00,3.270000,4.930000,17.310000,98.510000,92.440000,5.982081,1.181507,126.462923,773.083595,0.224082
2023-01-02 07:00:00,2.740000,4.010000,17.650000,98.550000,91.670000,5.012508,1.180605,74.342966,461.793800,0.133853
2023-01-02 08:00:00,2.880000,4.110000,18.250000,98.490000,89.640000,5.268621,1.177457,86.100569,542.415014,0.157222
2023-01-02 09:00:00,2.630000,3.630000,19.570000,98.430000,84.200000,4.811276,1.171433,65.233143,411.367154,0.119237
2023-01-02 10:00:00,2.290000,3.050000,20.940000,98.390000,78.220000,4.189286,1.165502,42.845293,268.736623,0.077895
2023-01-02 11:00:00,2.070000,2.830000,22.010000,98.350000,73.570000,3.786822,1.160805,31.517653,186.672776,0.054108
2023-01-02 12:00:00,2.860000,4.290000,22.690000,98.320000,69.500000,5.232034,1.157784,82.910407,521.854650,0.151262
2023-01-02 13:00:00,4.130000,6.330000,22.340000,98.260000,66.460000,7.555349,1.158448,249.810160,1372.444813,0.397810
2023-01-02 14:00:00,4.790000,7.420000,21.240000,98.250000,65.760000,8.762742,1.162658,391.148812,1990.530233,0.576965
2023-01-02 15:00:00,5.790000,8.300000,19.190000,98.300000,68.720000,10.592124,1.171407,696.028362,3004.425850,0.870848
2023-01-02 16:00:00,6.430000,8.500000,17.310000,98.340000,72.380000,11.762929,1.179468,959.848653,3155.678669,0.914689
2023-01-02 17:00:00,6.200000,8.230000,16.370000,98.410000,74.530000,11.342171,1.184140,863.896472,3168.178653,0.918313
2023-01-02 18:00:00,5.850000,7.620000,15.640000,98.490000,77.180000,10.701887,1.188098,728.120997,3082.631726,0.893516
2023-01-02 19:00:00,5.290000,6.900000,15.080000,98.530000,78.490000,9.677433,1.190890,539.662558,2639.567353,0.765092
2023-01-02 20:00:00,5.120000,6.730000,14.640000,98.570000,78.710000,9.366438,1.193195,490.235673,2428.845412,0.704013
2023-01-02 21:00:00,5.020000,6.660000,14.160000,98.610000,78.510000,9.183500,1.195674,463.028090,2306.668659,0.668600
2023-01-02 22:00:00,4.950000,6.550000,13.780000,98.620000,78.680000,9.055443,1.197379,444.560228,2220.774567,0.643703
2023-01-02 23:00:00,4.490000,6.150000,13.470000,98.630000,79.380000,8.213927,1.198795,332.175452,1746.265975,0.506164
2023-01-03 00:00:00,4.090000,5.690000,13.250000,98.640000,80.630000,7.482174,1.199838,251.290427,1387.436491,0.402156
2023-01-03 01:00:00,4.090000,5.620000,13.070000,98.640000,82.740000,7.482174,1.200592,251.448460,1388.308381,0.402408
