scenario,fuel_cost_per_litre,discount_rate,load_growth_rate,npc_total,lcoe_per_mwh,renewable_penetration,generator_energy_mwh,fuel_cost,scenario_slug
Base case,1.0,0.08,0.0,599239767.1413528,86.19268319116497,0.802455118529533,54935.868980796644,14832684.624815095,base_case
Fuel price +20%,1.2,0.08,0.0,630906884.8705169,90.74757756846574,0.802455118529533,54935.868980796644,17799221.549778115,fuel_price_20
Fuel price -20%,0.8,0.08,0.0,567572649.4121888,81.63778881386423,0.802455118529533,54935.868980796644,11866147.699852077,fuel_price_20
Load growth +10%,1.0,0.08,0.1,641737659.6411191,83.91403690829941,0.7686767230453886,70738.13167329313,19099295.551789146,load_growth_10
Load growth -10%,1.0,0.08,-0.1,561507792.7037781,89.73937741800084,0.8384172063230889,40441.5543886904,10919219.684946408,load_growth_10
