label,pv_capacity_kw,wind_capacity_kw,storage_energy_kwh,storage_power_kw,phes_energy_kwh,phes_power_kw,generator_capacity_kw,renewable_penetration,lcoe_per_mwh,npc_total,initial_capex,pv_capex,wind_capex,storage_capex,generator_capex,phes_capex,present_value_annual_costs,storage_replacement_present_cost,annual_cost,annual_curtailment_cost,load_energy_mwh,pv_energy_mwh,wind_energy_mwh,generator_energy_mwh,curtailed_energy_mwh,unserved_energy_mwh
system,100000,,,,6000000.0,750000.0,30000.0,1.0,107.45649350441738,747072741.6919974,610829090.909091,52509090.90909091,117320000.00000001,96000000.0,45000000.0,300000000.0,123885674.03643274,12357976.746473651,11605458.685763124,615983.2165819736,278093.102549,131373.0348,208705.23789584,0.0,43100.49989473119,0.0
best,100000,,140000,20000,,,30000.0,1.0,101.1388971945911,703150742.7307048,598716363.6363636,65636363.63636364,134080000.00000001,72000000.0,27000000.0,300000000.0,95165896.53448588,9268482.55985524,8915024.99473656,2155024.9947365597,,,,,43100.49989473119,
sensitivity:base_case,80000.0,,,,,,,0.802455118529533,86.19268319116497,599239767.1413528,310829090.90909094,52509090.90909091,117320000.00000001,96000000.0,45000000.0,,276052699.48578817,12357976.746473651,25860279.8418285,3113877.8373974715,278093.102549,,,54935.868980796644,62277.556747949435,0.0
sensitivity:fuel_price_20,80000.0,,,,,,,0.802455118529533,81.63778881386423,567572649.4121888,310829090.90909094,52509090.90909091,117320000.00000001,96000000.0,45000000.0,,244385581.7566242,12357976.746473651,22893742.916865483,3113877.8373974715,278093.102549,,,54935.868980796644,62277.556747949435,0.0
sensitivity:load_growth_10,80000.0,,,,,,,0.8384172063230889,89.73937741800084,561507792.7037781,310829090.90909094,52509090.90909091,117320000.00000001,96000000.0,45000000.0,,238320725.04821348,12357976.746473651,22325594.54529643,3782543.7725762115,250283.79240399998,,,40441.5543886904,75650.87545152423,0.0
